ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 6 default,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 8 default,Meta: slide_template,Meta: _variable_tour,Meta: custom_price_label,Meta: add_time_input,Meta: tour_resource_group,Meta: tour_full_day_booking,Meta: hide_photos,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Meta: show_qty,Meta: is_multi_day,,1500,2000,3000,3000,2500,2500,Total Price
2817,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17500,,,,,,,id:2811,,,,,,271,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,0,0,17500
2818,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,,,,id:2811,,,,,,272,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,0,2500,20000
2819,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,,,,id:2811,,,,,,273,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,2500,0,20000
2820,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,22500,,,,,,,id:2811,,,,,,274,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,2500,2500,22500
2821,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,14500,,,,,,,id:2811,,,,,,275,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,0,0,14500
2822,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17000,,,,,,,id:2811,,,,,,276,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,0,2500,17000
2823,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17000,,,,,,,id:2811,,,,,,277,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,2500,0,17000
2824,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19500,,,,,,,id:2811,,,,,,278,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,2500,2500,19500
2825,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20500,,,,,,,id:2811,,,,,,279,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,3000,3000,0,0,20500
2826,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23000,,,,,,,id:2811,,,,,,280,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,3000,3000,0,2500,23000
