ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,,1500,3000,3000,2500,5000,Total Price
3969,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,,,,id:3963,,,,,,31,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,0,0,0,0,0,20000
3970,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,30000,,,,,,,id:3963,,,,,,32,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,0,0,0,10000,30000
3971,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25000,,,,,,,id:3963,,,,,,33,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,0,0,0,5000,0,25000
3972,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35000,,,,,,,id:3963,,,,,,34,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,0,0,5000,10000,35000
3973,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23000,,,,,,,id:3963,,,,,,35,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,0,0,3000,0,0,23000
3974,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,33000,,,,,,,id:3963,,,,,,36,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,0,3000,0,10000,33000
3975,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,28000,,,,,,,id:3963,,,,,,37,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,0,0,3000,5000,0,28000
3976,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,38000,,,,,,,id:3963,,,,,,38,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,0,3000,5000,10000,38000
3977,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23000,,,,,,,id:3963,,,,,,39,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,0,3000,0,0,0,23000
3978,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,33000,,,,,,,id:3963,,,,,,40,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,3000,0,0,10000,33000
3979,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,28000,,,,,,,id:3963,,,,,,41,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,0,3000,0,5000,0,28000
3980,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,38000,,,,,,,id:3963,,,,,,42,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,3000,0,5000,10000,38000
3981,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26000,,,,,,,id:3963,,,,,,43,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,0,3000,3000,0,0,26000
3982,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,36000,,,,,,,id:3963,,,,,,44,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,3000,3000,0,10000,36000
3983,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31000,,,,,,,id:3963,,,,,,45,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,0,3000,3000,5000,0,31000
3984,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,41000,,,,,,,id:3963,,,,,,46,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,3000,3000,5000,10000,41000
